Cause,Code-ICD-10-113,Age,Gender,Year,Deaths,Population,Crude Rate
Salmonella infections,GR113-001,0,F,2005,0,1956682,Unreliable
Salmonella infections,GR113-001,0,F,2010,1,1929877,Unreliable
Salmonella infections,GR113-001,0,F,2015,3,1942904,Unreliable
Salmonella infections,GR113-001,1,F,2005,0,1950494,Unreliable
Salmonella infections,GR113-001,1,F,2010,0,1947217,Unreliable
Salmonella infections,GR113-001,1,F,2015,0,1939269,Unreliable
Salmonella infections,GR113-001,2,F,2005,0,1932337,Unreliable
Salmonella infections,GR113-001,2,F,2010,0,2004731,Unreliable
Salmonella infections,GR113-001,2,F,2015,0,1939979,Unreliable
Salmonella infections,GR113-001,3,F,2005,0,1930395,Unreliable
Salmonella infections,GR113-001,3,F,2010,0,2014490,Unreliable
Salmonella infections,GR113-001,3,F,2015,0,1943417,Unreliable
Salmonella infections,GR113-001,4,F,2005,0,1971897,Unreliable
Salmonella infections,GR113-001,4,F,2010,0,1985620,Unreliable
Salmonella infections,GR113-001,4,F,2015,0,1964111,Unreliable
Salmonella infections,GR113-001,5,F,2005,0,1901483,Unreliable
Salmonella infections,GR113-001,5,F,2010,0,1984764,Unreliable
Salmonella infections,GR113-001,5,F,2015,0,1967310,Unreliable
Salmonella infections,GR113-001,6,F,2005,0,1871697,Unreliable
Salmonella infections,GR113-001,6,F,2010,0,1991062,Unreliable
Salmonella infections,GR113-001,6,F,2015,0,1968544,Unreliable
Salmonella infections,GR113-001,7,F,2005,0,1876179,Unreliable
Salmonella infections,GR113-001,7,F,2010,0,1973503,Unreliable
Salmonella infections,GR113-001,7,F,2015,0,2031242,Unreliable
Salmonella infections,GR113-001,8,F,2005,0,1888355,Unreliable
Salmonella infections,GR113-001,8,F,2010,0,1981033,Unreliable
Salmonella infections,GR113-001,8,F,2015,0,2039062,Unreliable
Salmonella infections,GR113-001,9,F,2005,0,1936186,Unreliable
Salmonella infections,GR113-001,9,F,2010,0,2028657,Unreliable
Salmonella infections,GR113-001,9,F,2015,0,2021886,Unreliable
Salmonella infections,GR113-001,10,F,2005,0,2024518,Unreliable
Salmonella infections,GR113-001,10,F,2010,0,2036545,Unreliable
Salmonella infections,GR113-001,10,F,2015,0,2017346,Unreliable
Salmonella infections,GR113-001,11,F,2005,0,2024711,Unreliable
Salmonella infections,GR113-001,11,F,2010,0,2011151,Unreliable
Salmonella infections,GR113-001,11,F,2015,0,2023586,Unreliable
Salmonella infections,GR113-001,12,F,2005,0,2072265,Unreliable
Salmonella infections,GR113-001,12,F,2010,0,2006098,Unreliable
Salmonella infections,GR113-001,12,F,2015,0,2010241,Unreliable
Salmonella infections,GR113-001,13,F,2005,0,2104267,Unreliable
Salmonella infections,GR113-001,13,F,2010,0,2013099,Unreliable
Salmonella infections,GR113-001,13,F,2015,0,2001602,Unreliable
Salmonella infections,GR113-001,14,F,2005,0,2122621,Unreliable
Salmonella infections,GR113-001,14,F,2010,0,2030439,Unreliable
Salmonella infections,GR113-001,14,F,2015,0,2049167,Unreliable
Salmonella infections,GR113-001,15,F,2005,1,2168521,Unreliable
Salmonella infections,GR113-001,15,F,2010,0,2065798,Unreliable
Salmonella infections,GR113-001,15,F,2015,0,2076753,Unreliable
Salmonella infections,GR113-001,16,F,2005,0,2094194,Unreliable
Salmonella infections,GR113-001,16,F,2010,0,2100105,Unreliable
Salmonella infections,GR113-001,16,F,2015,0,2045025,Unreliable
Salmonella infections,GR113-001,17,F,2005,0,2055847,Unreliable
Salmonella infections,GR113-001,17,F,2010,0,2132142,Unreliable
Salmonella infections,GR113-001,17,F,2015,0,2049112,Unreliable
Salmonella infections,GR113-001,18,F,2005,0,2050714,Unreliable
Salmonella infections,GR113-001,18,F,2010,0,2195382,Unreliable
Salmonella infections,GR113-001,18,F,2015,1,2061954,Unreliable
Salmonella infections,GR113-001,19,F,2005,0,2065513,Unreliable
Salmonella infections,GR113-001,19,F,2010,0,2243250,Unreliable
Salmonella infections,GR113-001,19,F,2015,0,2078192,Unreliable
Salmonella infections,GR113-001,20,F,2005,0,2055521,Unreliable
Salmonella infections,GR113-001,20,F,2010,0,2210810,Unreliable
Salmonella infections,GR113-001,20,F,2015,0,2123067,Unreliable
Salmonella infections,GR113-001,21,F,2005,0,2011168,Unreliable
Salmonella infections,GR113-001,21,F,2010,0,2131096,Unreliable
Salmonella infections,GR113-001,21,F,2015,0,2166784,Unreliable
Salmonella infections,GR113-001,22,F,2005,0,2024927,Unreliable
Salmonella infections,GR113-001,22,F,2010,0,2086845,Unreliable
Salmonella infections,GR113-001,22,F,2015,0,2197776,Unreliable
Salmonella infections,GR113-001,23,F,2005,0,2046870,Unreliable
Salmonella infections,GR113-001,23,F,2010,0,2057772,Unreliable
